WOE_ID,ISO,Name,Language,PlaceType,Parent_ID
26809682,EC,Suscal,SPA,County,2345205
26809683,EC,Taisha,SPA,County,2345216
26809684,EC,Tena,SPA,County,2345217
26809685,EC,Tisaleo,SPA,County,2345220
26809686,EC,Tosagua,SPA,County,2345215
26809687,EC,Tulcan,SPA,County,2345206
26809688,EC,Salitre,SPA,County,2345211
26809689,EC,Urdaneta,SPA,County,2345214
26809690,EC,Valencia,SPA,County,2345214
26809691,EC,Veinticuatro de Mayo,SPA,County,2345215
26809692,EC,Ventanas,SPA,County,2345214
26809693,EC,Vinces,SPA,County,2345214
26809694,EC,Yacuambi,SPA,County,2345221
26809695,EC,Yantzaza,SPA,County,2345221
26809696,EC,Zamora,SPA,County,2345221
26809697,EC,Zapotillo,SPA,County,2345213
26809698,EC,Zaruma,SPA,County,2345209
26809700,EC,Guayaquil,SPA,County,2345211
28358086,EC,Olmedo,SPA,County,2345213
28358244,EC,Isabela,SPA,County,2345202
28358245,EC,San Cristóbal,SPA,County,2345202
28358246,EC,Santa Cruz,SPA,County,2345202
28358247,EC,San Vicente,SPA,County,2345215
26809561,EC,Huamboya,SPA,County,2345216
28358248,EC,Pablo Sexto,SPA,County,2345216
26809509,EC,Canar,SPA,County,2345205
26809543,EC,El Piedrero,SPA,County,2345205
26809701,EC,Abañin,SPA,LocalAdmin,26809698
26809702,EC,Abdon Calderon,SPA,LocalAdmin,26809666
26809703,EC,Abdon Calderon,SPA,LocalAdmin,26809631
26809704,EC,Achupallas,SPA,LocalAdmin,26809487
26809705,EC,Ahuano,SPA,LocalAdmin,26809684
26809706,EC,Alamor,SPA,LocalAdmin,26809638
26809707,EC,Alangasi,SPA,LocalAdmin,26809645
26809708,EC,Alaques,SPA,LocalAdmin,26809578
26809709,EC,Alausi,SPA,LocalAdmin,26809487
26809710,EC,Alfredo Baquerizo Moreno,SPA,LocalAdmin,26809488
26809711,EC,Alhajuela,SPA,LocalAdmin,26809631
26809712,EC,Alluriquin,SPA,LocalAdmin,26809671
26809713,EC,Aloag,SPA,LocalAdmin,26809590
26809714,EC,Aloasi,SPA,LocalAdmin,26809590
26809715,EC,Alshi,SPA,LocalAdmin,26809585
26809716,EC,Alto Tambo,SPA,LocalAdmin,26809657
26809717,EC,Amaguaña,SPA,LocalAdmin,26809645
26809718,EC,Amaluza,SPA,LocalAdmin,26809549
26809719,EC,Amaluza,SPA,LocalAdmin,26809674
26809720,EC,Amarillos,SPA,LocalAdmin,26809517
26809721,EC,Amazonas,SPA,LocalAdmin,26809557
26809722,EC,Ambatillo,SPA,LocalAdmin,26809489
